#,Transaction_ID,Officer_ID,Officer_Name,Site_ID,Site_Name,Site_Location,Activity_ID,Activity_Type,Activity_Description,Activity_Duration,Equipment_Used,Use_More_Than_Five_Equipments,Pollution_Level_Detected,Compliance_Status,Community_Feedback_Rating,Office_Location,Incentive_Received,Compliance_Target_Achieved,Price_ID,Monitoring_Date,Price,Total
1,4941,4,Diana Taylor,365,Charlestown Park,"Kings Park, Perth, WA 6005",4,Air Quality Check,Description 138,5.29,6,true,105.58,Non-Compliant,1,Perth,Yes,No,5225EF70-0DBA-45B2-AC10-3261E8233207,2022-04-08,414.51,2487.06
2,4520,10,Samantha Wright,388,Lambton Park,"Rundle Mall, Adelaide, SA 5000",1,Water Quality Test,Description 117,7.13,4,false,85.41,Non-Compliant,1,Adelaide,No,No,64A89F6C-6084-44A4-A900-24851AAE4BE5,2022-01-06,367.49,1469.96
3,2636,9,Vicky Turner,79,Richley Reserve,"Kings Park, Perth, WA 6005",4,Air Quality Check,Description 193,4.41,7,true,357.60,Non-Compliant,5,Perth,No,No,B7BE95D4-EA90-439A-93F7-0076E2A536DE,2022-02-16,410.64,2874.48
4,3073,13,Jane White,568,Mount Sugarloaf,"Glenelg Beach, Adelaide, SA 5045",2,Soil Quality Test,Description 200,3.94,16,true,48.37,Compliant,1,Adelaide,Yes,No,E031C60D-E3C6-499F-B646-23646FF65F02,2022-11-22,345.69,5531.04
5,3756,4,Diana Taylor,190,Glenrock State Conservation Area,"Mount Wellington, Hobart, TAS 7054",3,Noise Level Measurement,Description 32,2.77,10,true,194.57,Compliant,3,Hobart,Yes,No,68657A8B-5AF8-4B41-8141-075CBB7353CB,2022-10-30,261.45,2614.50
6,1154,21,Xena Perez,548,Newcastle Beach,"Kings Park, Perth, WA 6005",2,Soil Quality Test,Description 17,7.46,17,true,333.57,Compliant,2,Perth,Yes,No,6C364C93-4139-4608-B8C1-02388507EA99,2022-07-18,295.99,5031.83
7,1090,23,Ella Brown,217,Richley Reserve,"John Parade, Merewether, NSW 2291",3,Noise Level Measurement,Description 7,2.56,12,true,58.88,Compliant,5,Newcastle,No,No,7C7DDF3B-58D0-4B3E-A886-0D86A7B4C399,2022-07-15,218.62,2623.44
8,1360,29,Catherine Lee,15,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",2,Soil Quality Test,Description 186,1.70,12,true,14.46,Compliant,4,Canberra,No,No,983DE6E8-9A91-41B3-8D1A-0E287F167D4B,2022-09-12,184.81,2217.72
9,2253,10,Samantha Wright,32,Mount Sugarloaf,"Mindil Beach, Darwin, NT 0820",3,Noise Level Measurement,Description 155,1.63,14,true,486.63,Compliant,5,Darwin,No,No,1EB6E0DA-0041-4B52-BD57-0CB9BACE1287,2022-01-14,288.41,4037.74
10,2043,13,Jane White,243,Braye Park,"Darwin Waterfront, Darwin, NT 0800",1,Water Quality Test,Description 197,1.71,19,true,388.93,Non-Compliant,4,Darwin,No,No,2CA2F345-5543-43D4-A525-01E98666B107,2022-01-19,364.99,6934.81
11,1590,27,Fiona Wilson,364,King Edward Park,"South Bank, Brisbane, QLD 4101",3,Noise Level Measurement,Description 59,6.84,5,false,364.95,Compliant,5,Brisbane,Yes,No,2822B7A9-D6D4-45C5-9122-015B46D19B97,2022-09-01,332.03,1660.15
