Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
07-01-2022,18,Uma Allen,Newcastle,22,Warners Bay Foreshore,"Wharf Road, Newcastle East, NSW 2300",730,Noise Level Measurement,Description 169,4.83,Equipment 3,271.22,Compliant,4,3752,Yes,Yes
25-08-2022,23,Grace Jones,Sydney,12,King Edward Park,"Darling Harbour, Sydney, NSW 2000",147,Noise Level Measurement,Description 71,4.77,Equipment 9,29.8,Compliant,2,1071,Yes,No
11-06-2022,7,Hannah Moore,Melbourne,21,Newcastle Beach,"Federation Square, Melbourne, VIC 3000",259,Noise Level Measurement,Description 1,6.63,Equipment 10,12.61,Non-Compliant,3,2236,Yes,Yes
23-09-2022,6,Vicky Turner,Brisbane,21,Merewether Beach,"Queen Street Mall, Brisbane, QLD 4000",224,Water Quality Test,Description 119,4.19,Equipment 20,268.41,Compliant,5,865,No,
02-03-2022,1,Laura Clark,Perth,15,Nobbys Beach,"Cottesloe Beach, Perth, WA 6011",821,Noise Level Measurement,Description 33,2.72,Equipment 18,170.44,Compliant,3,4281,Yes,Yes
01-06-2022,8,Xena Perez,Adelaide,19,Speers Point Park,"Rundle Mall, Adelaide, SA 5000",820,Air Quality Check,Description 57,5.48,Equipment 18,302.05,Non-Compliant,1,988,No,
10-03-2022,15,Ella Brown,Hobart,11,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",303,Soil Quality Test,Description 80,2.16,Equipment 5,281.18,Non-Compliant,3,2511,No,
25-09-2022,6,Alice Johnson,Darwin,13,Redhead Beach,"Mindil Beach, Darwin, NT 0820",558,Air Quality Check,Description 102,1.67,Equipment 5,5.32,Compliant,2,4703,No,
11-07-2022,11,Zoe Ward,Canberra,5,Glenrock State Conservation Area,"Parliament House, Canberra, ACT 2600",581,Soil Quality Test,Description 165,2.24,Equipment 13,110.09,Non-Compliant,4,4674,No,
08-02-2022,8,Catherine Lee,Gold Coast,3,Hunter Wetlands Centre,"Surfers Paradise Beach, Gold Coast, QLD 4217",83,Water Quality Test,Description 45,4.55,Equipment 1,237.62,Compliant,2,4526,No,
07-06-2022,15,Laura Clark,Newcastle,12,Croudace Bay Park,"Wharf Road, Newcastle East, NSW 2300",928,Soil Quality Test,Description 22,1.8,Equipment 14,308.07,Compliant,3,2427,No,
10-03-2022,14,Vicky Turner,Sydney,18,Belmont Wetlands State Park,"Darling Harbour, Sydney, NSW 2000",576,Water Quality Test,Description 69,1.57,Equipment 16,85.84,Non-Compliant,2,23,Yes,Yes
22-01-2022,3,Diana Taylor,Melbourne,11,Jesmond Park,"St Kilda Road, Melbourne, VIC 3004",509,Air Quality Check,Description 129,7.87,Equipment 11,270.26,Compliant,2,4991,Yes,No
17-08-2022,21,Ella Brown,Brisbane,22,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",589,Noise Level Measurement,Description 79,2.21,Equipment 1,139.37,Compliant,5,468,Yes,No
28-07-2022,21,Paula Young,Perth,14,Charlestown Park,"Cottesloe Beach, Perth, WA 6011",545,Soil Quality Test,Description 136,2.49,Equipment 15,405.11,Non-Compliant,3,3281,Yes,No
17-12-2022,13,Diana Taylor,Adelaide,24,Toronto Foreshore,"Rundle Mall, Adelaide, SA 5000",436,Soil Quality Test,Description 125,1.18,Equipment 13,449.96,Non-Compliant,3,3938,Yes,Yes
16-02-2022,1,Laura Clark,Hobart,20,Watagan Mountains,"Mount Wellington, Hobart, TAS 7054",918,Soil Quality Test,Description 100,1.95,Equipment 16,385.99,Non-Compliant,1,25,No,
16-05-2022,2,Fiona Wilson,Darwin,6,Awaba State Forest,"Mindil Beach, Darwin, NT 0820",339,Soil Quality Test,Description 90,6.62,Equipment 4,21.55,Non-Compliant,4,2814,No,
25-10-2022,24,Yvonne Cook,Canberra,8,Heaton State Forest,"Parliament House, Canberra, ACT 2600",891,Soil Quality Test,Description 127,4.36,Equipment 3,354.56,Non-Compliant,1,3210,No,
04-04-2022,19,Alice Johnson,Gold Coast,2,Lambton Park,"Broadbeach, Gold Coast, QLD 4218",859,Water Quality Test,Description 75,6.81,Equipment 7,86.65,Compliant,4,4746,Yes,No
05-05-2022,9,Samantha Wright,Newcastle,14,Richley Reserve,"Shortland Esplanade, Newcastle, NSW 2300",559,Soil Quality Test,Description 91,3.93,Equipment 12,376.33,Non-Compliant,2,1988,No,
24-04-2022,4,Alice Johnson,Sydney,15,Warners Bay Foreshore,"Darling Harbour, Sydney, NSW 2000",144,Air Quality Check,Description 178,3.97,Equipment 17,378.44,Non-Compliant,1,4035,No,
13-06-2022,12,Beth Smith,Melbourne,16,Waratah Park,"Federation Square, Melbourne, VIC 3000",653,Noise Level Measurement,Description 92,2.35,Equipment 12,253.02,Compliant,5,3939,No,
31-10-2022,21,Zoe Ward,Brisbane,18,King Edward Park,"South Bank, Brisbane, QLD 4101",337,Noise Level Measurement,Description 178,2.53,Equipment 17,351.41,Non-Compliant,4,2305,Yes,No
23-11-2022,3,Isabella Thompson,Perth,22,Blackbutt Nature Reserve,"Kings Park, Perth, WA 6005",430,Water Quality Test,Description 146,7.73,Equipment 19,445.03,Compliant,3,3013,No,
01-09-2022,8,Diana Taylor,Adelaide,7,King Edward Park,"Glenelg Beach, Adelaide, SA 5045",702,Noise Level Measurement,Description 139,5.4,Equipment 16,357.94,Non-Compliant,5,4276,No,
20-08-2022,23,Megan Lewis,Hobart,22,Newcastle Beach,"Salamanca Place, Hobart, TAS 7000",476,Air Quality Check,Description 83,4.61,Equipment 14,490.2,Non-Compliant,5,2094,Yes,Yes
07-05-2022,5,Kate Harris,Darwin,4,Merewether Beach,"Darwin Waterfront, Darwin, NT 0800",669,Air Quality Check,Description 134,5.58,Equipment 11,81.33,Non-Compliant,1,3244,Yes,No
22-04-2022,18,Catherine Lee,Canberra,20,Blackbutt Nature Reserve,"Lake Burley Griffin, Canberra, ACT 2600",683,Noise Level Measurement,Description 130,1.98,Equipment 8,308.8,Non-Compliant,3,11,Yes,No
07-02-2022,13,Olivia Hall,Gold Coast,15,Speers Point Park,"Broadbeach, Gold Coast, QLD 4218",847,Air Quality Check,Description 169,4.54,Equipment 6,242.61,Non-Compliant,4,4139,Yes,Yes
22-12-2022,2,Rachel King,Newcastle,5,Warners Bay Foreshore,"Wharf Road, Newcastle East, NSW 2300",572,Noise Level Measurement,Description 24,7.9,Equipment 17,371.05,Compliant,2,4017,Yes,Yes
16-06-2022,15,Ella Brown,Sydney,3,Redhead Beach,"Circular Quay, Sydney, NSW 2000",439,Soil Quality Test,Description 66,3.49,Equipment 16,44.94,Compliant,2,4455,Yes,No
25-04-2022,5,Xena Perez,Melbourne,14,Glenrock State Conservation Area,"St Kilda Road, Melbourne, VIC 3004",872,Water Quality Test,Description 146,7.17,Equipment 3,93.13,Compliant,1,994,Yes,No
27-04-2022,4,Catherine Lee,Brisbane,16,Hunter Wetlands Centre,"Queen Street Mall, Brisbane, QLD 4000",119,Noise Level Measurement,Description 27,5.8,Equipment 18,432.72,Non-Compliant,2,1748,Yes,No
